Data;Abertura;Maxima;Minima;Fechamento
17/05/2005;2487;2502;2487;2494
18/05/2005;2484;2484;2469;2470
19/05/2005;2455;2458;2450;2455
20/05/2005;2460;2463;2451;2451
23/05/2005;2443;2443;2432;2433
24/05/2005;2435;2442;2431;2432
25/05/2005;2420;2421;2409;2412
27/05/2005;2399;2399;2389;2389
30/05/2005;2376;2376;2369;2369
31/05/2005;2407;2454;2407;2442
01/06/2005;2453;2480;2452;2480
02/06/2005;2465;2465;2440;2440
03/06/2005;2424;2458;2419;2450
06/06/2005;2480;2505;2474;2480
07/06/2005;2486;2494;2485;2485
08/06/2005;2470;2488;2466;2488
09/06/2005;2507;2530;2504;2525
10/06/2005;2501;2510;2488;2497
13/06/2005;2486;2486;2466;2471
14/06/2005;2458;2494;2450;2450
15/06/2005;2462;2468;2440;2440
16/06/2005;2430;2442;2416;2418
17/06/2005;2410;2410;2400;2400
20/06/2005;2404;2407;2390;2406
21/06/2005;2392.1;2393;2382;2384
22/06/2005;2374;2400;2371;2395
23/06/2005;2405;2416;2397;2416
24/06/2005;2400;2403;2390;2390
27/06/2005;2390;2390;2379;2381
28/06/2005;2369;2375;2369;2374
29/06/2005;2365;2365;2350;2360
30/06/2005;2346;2356;2346;2350.5
01/07/2005;2357;2382;2357;2371
04/07/2005;2400;2403;2392;2392
05/07/2005;2400;2404;2384;2404
06/07/2005;2406;2422;2406;2415
07/07/2005;2426;2427;2396;2396
08/07/2005;2406;2406;2379;2388
11/07/2005;2388;2388;2359;2359
12/07/2005;2344;2359;2340;2355
13/07/2005;2354;2372;2349;2370
14/07/2005;2365;2365;2348;2348
15/07/2005;2357;2367;2351;2355
18/07/2005;2340;2350;2339;2350
19/07/2005;2356;2357;2350;2357
20/07/2005;2360;2372;2344;2344
21/07/2005;2336;2372;2336;2372
22/07/2005;2372;2407;2372;2403
25/07/2005;2412;2490;2412;2489
26/07/2005;2502;2505;2435;2435
27/07/2005;2430;2486;2430;2443
28/07/2005;2420;2433;2403;2406
29/07/2005;2390;2413;2390;2393
01/08/2005;2425;2425;2396;2406
02/08/2005;2408;2408;2368;2368
03/08/2005;2365;2365;2340;2352
04/08/2005;2350;2354;2322;2336
05/08/2005;2340;2344;2315;2335
08/08/2005;2330;2357;2322;2355
